ISEQ_ID,Date_ISEQ,Price_ISEQ,Open_ISEQ,High_ISEQ,Low_ISEQ,Vol_Mil_ISEQ,ChangePercent_ISEQ
206,"Nov 08, 2018",6202.6,6254.77,6316.61,6202.33,38.07,-0.83
207,"Nov 07, 2018",6254.77,6136.33,6263.03,6132.09,16.65,1.93
208,"Nov 06, 2018",6136.33,6191.37,6210.08,6120.64,27.45,-0.89
209,"Nov 05, 2018",6191.37,6224.07,6239.11,6191.37,18.17,-0.53
210,"Nov 02, 2018",6224.07,6156.39,6272.43,6156.39,23.62,1.10
211,"Nov 01, 2018",6156.39,6146.07,6213.29,6118.96,23.81,0.14
212,"Oct 31, 2018",6147.61,6103.03,6217.67,6103.03,25.89,0.73
213,"Oct 30, 2018",6103.03,6050.01,6107.12,5999.81,14.96,0.88
214,"Oct 29, 2018",6050.01,5978.12,6086.2,5967.49,9.2,1.20
215,"Oct 26, 2018",5978.12,5970.46,5993.68,5873.23,36.09,0.13
216,"Oct 25, 2018",5970.46,5917.33,5979.75,5857.39,38.42,0.90
217,"Oct 24, 2018",5917.33,5930.36,6021.1,5917.33,19.52,-0.22
218,"Oct 23, 2018",5930.36,6024.38,6024.38,5917.74,24.3,-1.56
219,"Oct 22, 2018",6024.38,5997.46,6068.62,5997.46,22.21,0.45
220,"Oct 19, 2018",5997.46,6090.79,6109.68,5991.46,28.9,-1.53
221,"Oct 18, 2018",6090.79,6185.74,6185.74,6082.99,18.82,-1.57
222,"Oct 17, 2018",6188.02,6263.19,6273.6,6168.93,31.7,-1.20
223,"Oct 16, 2018",6263.19,6113.84,6263.19,6113.84,15.08,2.44
224,"Oct 15, 2018",6113.84,6098.39,6124.52,6069.5,13.67,0.25
225,"Oct 12, 2018",6098.39,6018.81,6119.65,6018.81,28.97,1.32
226,"Oct 11, 2018",6018.81,6153.73,6153.73,6018.81,27.75,-2.19
227,"Oct 10, 2018",6153.81,6328.4,6328.4,6153.25,25.89,-2.76
228,"Oct 09, 2018",6328.4,6388.99,6411.79,6319.76,25.6,-0.95
229,"Oct 08, 2018",6388.99,6450.73,6450.73,6388.99,18.52,-0.96
230,"Oct 05, 2018",6450.73,6482.94,6487.88,6420.15,39.39,-0.50
231,"Oct 04, 2018",6482.94,6540.15,6540.15,6464.05,25.57,-0.88
232,"Oct 03, 2018",6540.18,6472.64,6552.26,6472.64,31.38,1.04
233,"Oct 02, 2018",6472.64,6494.65,6494.65,6433.52,28.59,-0.34
234,"Oct 01, 2018",6494.65,6522.36,6545.78,6470.97,33.41,-0.42
235,"Sep 28, 2018",6522.36,6586.75,6593.24,6521.6,47.62,-0.98
236,"Sep 27, 2018",6586.75,6570.37,6603.61,6558.01,19.38,0.17
237,"Sep 26, 2018",6575.63,6559.98,6575.65,6544.16,25.32,0.24
238,"Sep 25, 2018",6559.98,6583.58,6588.47,6556.68,21.79,-0.36
239,"Sep 24, 2018",6583.58,6673.16,6673.16,6582.24,16.4,-1.34
240,"Sep 21, 2018",6673.16,6709.29,6730.29,6646.72,43.2,-0.54
241,"Sep 20, 2018",6709.29,6723.48,6748.61,6689.95,59.3,-0.22
242,"Sep 19, 2018",6723.96,6707.9,6736.33,6707.9,21.52,0.24
243,"Sep 18, 2018",6707.9,6671.42,6707.9,6655.46,19.89,0.55
244,"Sep 17, 2018",6671.42,6637.63,6671.42,6610.86,14.73,0.51
245,"Sep 14, 2018",6637.63,6629.66,6657.03,6598.74,13.33,0.12
246,"Sep 13, 2018",6629.66,6611.66,6657.78,6601.5,14.8,0.26
247,"Sep 12, 2018",6612.27,6646.72,6653.51,6596.16,13.33,-0.52
248,"Sep 11, 2018",6646.72,6634.45,6646.72,6601.37,19.14,0.18
249,"Sep 10, 2018",6634.45,6646.34,6657.96,6614.01,18.18,-0.18
250,"Sep 07, 2018",6646.34,6693.58,6700.03,6632.03,20.77,-0.71
251,"Sep 06, 2018",6693.58,6684.48,6713.95,6668.19,31.81,-0.06
252,"Sep 05, 2018",6697.59,6757.5,6769.01,6697.59,19.76,-0.89
253,"Sep 04, 2018",6757.5,6787.38,6808.78,6748.91,44.15,-0.44
254,"Sep 03, 2018",6787.38,6773.91,6814.22,6752.54,12.07,0.20
255,"Aug 31, 2018",6773.91,6805.22,6817.71,6753.14,27.05,-0.46
256,"Aug 30, 2018",6805.22,6819.05,6831.58,6787.54,20.98,-0.21
257,"Aug 29, 2018",6819.44,6782.59,6844.41,6780.15,18.57,0.54
258,"Aug 28, 2018",6782.59,6796.3,6811.26,6766.21,23.71,-0.20
259,"Aug 27, 2018",6796.3,6794.21,6818.73,6784.59,5.02,0.03
260,"Aug 24, 2018",6794.21,6719.87,6801.79,6719.87,14.18,1.11
261,"Aug 23, 2018",6719.87,6717.67,6823.53,6717.67,16.17,-0.06
262,"Aug 22, 2018",6723.69,6735.54,6758.93,6701.68,28.9,-0.18
263,"Aug 21, 2018",6735.54,6726.37,6744.41,6692.05,27.8,0.14
264,"Aug 20, 2018",6726.37,6698.59,6758.06,6683.68,18.01,0.41
265,"Aug 17, 2018",6698.59,6672.08,6709.46,6657.28,22.08,0.40
266,"Aug 16, 2018",6672.08,6617.2,6672.08,6617.2,22,0.82
267,"Aug 15, 2018",6617.83,6694.66,6715.12,6611.85,17.35,-1.15
268,"Aug 14, 2018",6694.66,6686.68,6724.96,6661.65,12.5,0.12
269,"Aug 13, 2018",6686.68,6681.97,6701.15,6624.01,12.33,0.07
270,"Aug 10, 2018",6681.97,6745.64,6745.64,6654.51,21.71,-0.94
271,"Aug 09, 2018",6745.64,6761.85,6761.85,6714.34,18.51,-0.24
272,"Aug 08, 2018",6761.85,6813.61,6813.61,6757.14,11.15,-0.76
273,"Aug 07, 2018",6813.61,6817.28,6847.53,6810.29,15.12,-0.05
274,"Aug 06, 2018",6817.28,6790.59,6817.28,6770.26,11.24,0.39
275,"Aug 03, 2018",6790.59,6727.08,6791.92,6727.08,23.08,0.94
276,"Aug 02, 2018",6727.08,6815.09,6815.09,6727.08,16.52,-1.29
277,"Aug 01, 2018",6815.26,6831.98,6864.45,6798.5,20.58,-0.24
278,"Jul 31, 2018",6831.98,6839.24,6864.59,6828.42,41.43,-0.11
279,"Jul 30, 2018",6839.24,6898.11,6898.11,6839.04,18.45,-0.85
280,"Jul 27, 2018",6898.11,6928,6947.05,6897.91,18.15,-0.43
281,"Jul 26, 2018",6928,6882.94,6935.72,6882.94,20.44,0.65
282,"Jul 25, 2018",6882.94,6885.64,6923.91,6860.82,18.24,-0.04
283,"Jul 24, 2018",6885.64,6864.64,6914.73,6864.64,23.31,0.31
284,"Jul 23, 2018",6864.64,6935.73,6935.73,6864.64,16.72,-1.02
285,"Jul 20, 2018",6935.73,6982.76,6987.26,6883.55,18.68,-0.67
286,"Jul 19, 2018",6982.76,7028.99,7029.95,6969.65,70.54,-0.66
287,"Jul 18, 2018",7029.18,7028.61,7076.81,7001.92,22.3,0.01
288,"Jul 17, 2018",7028.61,7057,7062.73,7016.83,37.5,-0.40
289,"Jul 16, 2018",7057,7046.01,7066.87,7025.68,14.24,0.16
290,"Jul 13, 2018",7046.01,7024.26,7069.39,7007.15,17.39,0.31
291,"Jul 12, 2018",7024.26,6945.37,7026.54,6945.37,23.69,1.14
292,"Jul 11, 2018",6945.37,6989.93,6989.93,6927.98,17.61,-0.64
293,"Jul 10, 2018",6989.93,7013.12,7013.12,6974.26,21.22,-0.33
294,"Jul 09, 2018",7013.12,7001.49,7034.78,7001.49,12.71,0.17
295,"Jul 06, 2018",7001.49,6969.09,7001.49,6962.29,13.13,0.46
296,"Jul 05, 2018",6969.09,6974.22,6997.92,6950.45,19.18,-0.09
297,"Jul 04, 2018",6975.16,6943,6975.18,6923.59,10.09,0.46
298,"Jul 03, 2018",6943,6927.22,6981.66,6927.22,36.45,0.23
299,"Jul 02, 2018",6927.22,6982.83,6982.83,6919.71,20.56,-0.80
300,"Jun 29, 2018",6982.83,6953.15,7020.49,6953.15,24.5,0.43
301,"Jun 28, 2018",6953.15,7018.74,7019.83,6943.7,22.38,-0.93
302,"Jun 27, 2018",7018.74,6975.56,7056.61,6949.22,16.31,0.62
303,"Jun 26, 2018",6975.56,6977.35,7034.85,6974.54,17.91,-0.03
304,"Jun 25, 2018",6977.35,7105.36,7105.36,6977.35,29.53,-1.80
305,"Jun 22, 2018",7105.36,7061.17,7131.31,7061.17,11.59,0.63
306,"Jun 21, 2018",7061.17,7100.25,7133.67,7059.13,9.49,-0.55
307,"Jun 20, 2018",7100.5,7063.76,7133.89,7063.76,9.53,0.52
308,"Jun 19, 2018",7063.76,7081.41,7089.52,7021.67,9.68,-0.25
309,"Jun 18, 2018",7081.41,7128.43,7143.81,7064.13,9.64,-0.66
310,"Jun 15, 2018",7128.43,7178.46,7206.88,7125.32,32.28,-0.70
311,"Jun 14, 2018",7178.46,7128.66,7203.95,7083.27,30.21,0.70
312,"Jun 13, 2018",7128.68,7121.7,7173.72,7107.83,19.94,0.10
313,"Jun 12, 2018",7121.7,7149.42,7172.01,7121.7,17.18,-0.39
314,"Jun 11, 2018",7149.42,7127.6,7175.79,7127.6,14.36,0.31
315,"Jun 08, 2018",7127.6,7136.03,7149.64,7087.18,13.99,-0.12
316,"Jun 07, 2018",7136.03,7177.08,7222.01,7136.03,25.59,-0.57
317,"Jun 06, 2018",7177.08,7161.98,7224,7151.92,17.82,0.21
318,"Jun 05, 2018",7161.98,7182.42,7230.1,7150.32,29.53,-0.28
319,"Jun 01, 2018",7182.42,7140.86,7224.11,7140.86,27.1,0.58
320,"May 31, 2018",7140.86,7115.58,7250,7115.58,69.09,0.36
321,"May 30, 2018",7115.58,7126.77,7153.92,7101.56,28.34,-0.16
